Question_Index,Query,Method,Pearson,Spearman,Num_Items
0,total number of death row inmates in the us,ContextCite32,0.9495430641086272,0.9030303030303028,10
0,total number of death row inmates in the us,WSS32,0.955789892876548,0.9393939393939393,10
0,total number of death row inmates in the us,ContextCite64,0.9711421422247855,0.8545454545454544,10
0,total number of death row inmates in the us,WSS64,0.961236346769313,0.8909090909090909,10
0,total number of death row inmates in the us,ContextCite100,0.9779914372426178,0.9272727272727272,10
0,total number of death row inmates in the us,WSS100,0.9681647354265895,0.8303030303030302,10
0,total number of death row inmates in the us,TMC5,0.861977891984172,0.8909090909090909,10
0,total number of death row inmates in the us,BetaShap (U)5,0.5782209024076926,0.7696969696969697,10
0,total number of death row inmates in the us,TMC10,0.9235600150742399,0.9636363636363635,10
0,total number of death row inmates in the us,BetaShap (U)10,0.6667250722452864,0.7333333333333332,10
0,total number of death row inmates in the us,TMC20,0.9518924064171675,0.9393939393939393,10
0,total number of death row inmates in the us,BetaShap (U)20,0.7550435223337894,0.8545454545454544,10
0,total number of death row inmates in the us,LOO,0.8016236439250402,0.8181818181818182,10
1,big little lies season 2 how many episodes,ContextCite32,0.942299742761962,0.9272727272727272,10
1,big little lies season 2 how many episodes,WSS32,0.8037753189260697,0.5393939393939393,10
1,big little lies season 2 how many episodes,ContextCite64,0.8344470387751027,0.6484848484848483,10
1,big little lies season 2 how many episodes,WSS64,0.7370020824794739,0.6727272727272726,10
1,big little lies season 2 how many episodes,ContextCite100,0.8710803828701715,0.7818181818181817,10
1,big little lies season 2 how many episodes,WSS100,0.8448925022240472,0.7333333333333332,10
1,big little lies season 2 how many episodes,TMC5,0.38085201001028685,0.05454545454545454,10
1,big little lies season 2 how many episodes,BetaShap (U)5,-0.1669871245798918,-0.28484848484848485,10
1,big little lies season 2 how many episodes,TMC10,0.4468019799991774,0.35757575757575755,10
1,big little lies season 2 how many episodes,BetaShap (U)10,0.1779635895010032,-0.11515151515151514,10
1,big little lies season 2 how many episodes,TMC20,0.6764961292216249,0.5515151515151515,10
1,big little lies season 2 how many episodes,BetaShap (U)20,0.19332869327029428,-0.12727272727272726,10
1,big little lies season 2 how many episodes,LOO,0.19000835103966981,0.10303030303030303,10
2,who sang waiting for a girl like you,ContextCite32,0.9505913573869772,0.8666666666666665,10
2,who sang waiting for a girl like you,WSS32,0.8659400503573511,0.5757575757575757,10
2,who sang waiting for a girl like you,ContextCite64,0.9644572377751928,0.9393939393939393,10
2,who sang waiting for a girl like you,WSS64,0.9243511657860627,0.8787878787878788,10
2,who sang waiting for a girl like you,ContextCite100,0.9698229103648885,0.9151515151515152,10
2,who sang waiting for a girl like you,WSS100,0.9646090908234429,0.8666666666666665,10
2,who sang waiting for a girl like you,TMC5,0.6813219240976032,0.6,10
2,who sang waiting for a girl like you,BetaShap (U)5,0.3826317815972396,0.29696969696969694,10
2,who sang waiting for a girl like you,TMC10,0.8245883776716367,0.8909090909090909,10
2,who sang waiting for a girl like you,BetaShap (U)10,0.5366913770196599,0.5878787878787878,10
2,who sang waiting for a girl like you,TMC20,0.8865782453056658,0.8303030303030302,10
2,who sang waiting for a girl like you,BetaShap (U)20,0.6333068489780272,0.49090909090909085,10
2,who sang waiting for a girl like you,LOO,0.8233563097218854,-0.2727272727272727,10
3,where do you cross the arctic circle in norway,ContextCite32,0.9599916191346352,0.8632258720256917,10
3,where do you cross the arctic circle in norway,WSS32,0.9345271611545667,0.790277206784084,10
3,where do you cross the arctic circle in norway,ContextCite64,0.9941575357135664,0.857146816588891,10
3,where do you cross the arctic circle in norway,WSS64,0.9863040239334693,0.9726488698881034,10
3,where do you cross the arctic circle in norway,ContextCite100,0.989446033116766,0.8024353176576853,10
3,where do you cross the arctic circle in norway,WSS100,0.9985076494054068,0.9422535927041001,10
3,where do you cross the arctic circle in norway,TMC5,0.9784011306259477,0.6565379871744698,10
3,where do you cross the arctic circle in norway,BetaShap (U)5,0.9182371677314646,0.7234075969792768,10
3,where do you cross the arctic circle in norway,TMC10,0.9350608640284238,0.7720400404736821,10
3,where do you cross the arctic circle in norway,BetaShap (U)10,0.8356284745712694,0.7294866524160775,10
3,where do you cross the arctic circle in norway,TMC20,0.9653374371404646,0.7416447632896789,10
3,where do you cross the arctic circle in norway,BetaShap (U)20,0.8764182734403472,0.8024353176576853,10
3,where do you cross the arctic circle in norway,LOO,0.580858545585774,0.4878048780487806,10
