Question_Index,Query,Method,Pearson,Spearman,Num_Items
0,total number of death row inmates in the us,ContextCite32,0.9958590459556648,0.4424242424242424,10
0,total number of death row inmates in the us,WSS32,0.9935012993439314,0.6121212121212121,10
0,total number of death row inmates in the us,ContextCite64,0.996113438961107,0.3939393939393939,10
0,total number of death row inmates in the us,WSS64,0.9951008677716818,0.41818181818181815,10
0,total number of death row inmates in the us,ContextCite100,0.9976856300577951,0.5757575757575757,10
0,total number of death row inmates in the us,WSS100,0.9952746307109588,0.4424242424242424,10
0,total number of death row inmates in the us,TMC5,0.9647451755832247,0.43030303030303024,10
0,total number of death row inmates in the us,BetaShap (U)5,0.881844544525983,0.6484848484848483,10
0,total number of death row inmates in the us,TMC10,0.9745569942822597,0.5393939393939393,10
0,total number of death row inmates in the us,BetaShap (U)10,0.8753563316872328,0.406060606060606,10
0,total number of death row inmates in the us,TMC20,0.9866090483481218,0.49090909090909085,10
0,total number of death row inmates in the us,BetaShap (U)20,0.8879445126012541,0.309090909090909,10
0,total number of death row inmates in the us,LOO,0.9977344196621531,0.5757575757575757,10
1,big little lies season 2 how many episodes,ContextCite32,0.9758809068613774,0.8510677611520904,10
1,big little lies season 2 how many episodes,WSS32,0.9744825252911963,0.8753839828992931,10
1,big little lies season 2 how many episodes,ContextCite64,0.9706567018270938,0.8206724839680872,10
1,big little lies season 2 how many episodes,WSS64,0.9795866849296283,0.9240164263936982,10
1,big little lies season 2 how many episodes,ContextCite100,0.9855319358433346,0.8201219512195123,10
1,big little lies season 2 how many episodes,WSS100,0.9758933284464566,0.857146816588891,10
1,big little lies season 2 how many episodes,TMC5,0.9355949192411607,0.6930123197952737,10
1,big little lies season 2 how many episodes,BetaShap (U)5,0.9349293574830976,0.6200636545536659,10
1,big little lies season 2 how many episodes,TMC10,0.9458142849646416,0.6626170426112704,10
1,big little lies season 2 how many episodes,BetaShap (U)10,0.8778540972817189,0.7294866524160775,10
1,big little lies season 2 how many episodes,TMC20,0.9643031439922666,0.705170430668875,10
1,big little lies season 2 how many episodes,BetaShap (U)20,0.8996065911333245,0.6930123197952737,10
1,big little lies season 2 how many episodes,LOO,0.8972324369484688,0.8048780487804879,10
2,who sang waiting for a girl like you,ContextCite32,0.9499602660463078,0.7416447632896789,10
2,who sang waiting for a girl like you,WSS32,0.9640601700586414,0.6322217654272672,10
2,who sang waiting for a girl like you,ContextCite64,0.9751148969606759,0.6626170426112704,10
2,who sang waiting for a girl like you,WSS64,0.9777601813932192,0.6261427099904665,10
2,who sang waiting for a girl like you,ContextCite100,0.9810697603049587,0.705170430668875,10
2,who sang waiting for a girl like you,WSS100,0.9852866442758224,0.7781190959104828,10
2,who sang waiting for a girl like you,TMC5,0.9536486957069265,0.5288778230016562,10
2,who sang waiting for a girl like you,BetaShap (U)5,0.914132780279235,0.4498501023232478,10
2,who sang waiting for a girl like you,TMC10,0.9752571423561333,0.5714312110592608,10
2,who sang waiting for a girl like you,BetaShap (U)10,0.9559863464834143,0.5835893219328621,10
2,who sang waiting for a girl like you,TMC20,0.9838888296140061,0.8753839828992931,10
2,who sang waiting for a girl like you,BetaShap (U)20,0.9288533211684509,0.8632258720256917,10
2,who sang waiting for a girl like you,LOO,0.970037958422016,0.7560975609756098,10
3,where do you cross the arctic circle in norway,ContextCite32,0.9445511596108823,0.7561116173156891,10
3,where do you cross the arctic circle in norway,WSS32,0.8916874791284877,0.5670837129867669,10
3,where do you cross the arctic circle in norway,ContextCite64,0.9888744889749497,0.3902511573242267,10
3,where do you cross the arctic circle in norway,WSS64,0.9739413101944696,0.5548883643203848,10
3,where do you cross the arctic circle in norway,ContextCite100,0.9875814896637787,0.8414790579803637,10
3,where do you cross the arctic circle in norway,WSS100,0.9978640645770606,0.7683069659820714,10
3,where do you cross the arctic circle in norway,TMC5,0.9759951622915043,0.8109906863144085,10
3,where do you cross the arctic circle in norway,BetaShap (U)5,0.9993103389264711,0.7012325483169698,10
3,where do you cross the arctic circle in norway,TMC10,0.9176127765868624,0.9207488243118473,10
3,where do you cross the arctic circle in norway,BetaShap (U)10,0.881851933782605,0.8475767323135548,10
3,where do you cross the arctic circle in norway,TMC20,0.952856708479062,0.9207488243118473,10
3,where do you cross the arctic circle in norway,BetaShap (U)20,0.883512545531064,0.8719674296463189,10
3,where do you cross the arctic circle in norway,LOO,0.8980945604523439,0.9631901840490799,10
4,who is the main character in green eggs and ham,ContextCite32,0.9125121367848078,0.8932926829268295,10
4,who is the main character in green eggs and ham,WSS32,0.8993518282372858,0.8510677611520904,10
4,who is the main character in green eggs and ham,ContextCite64,0.9771312772819328,0.9292703602906802,10
4,who is the main character in green eggs and ham,WSS64,0.9039050839209003,0.6930123197952737,10
4,who is the main character in green eggs and ham,ContextCite100,0.9770501507125046,0.7659609850368815,10
4,who is the main character in green eggs and ham,WSS100,0.9620177751690439,0.7963562622208846,10
4,who is the main character in green eggs and ham,TMC5,0.8548408865041333,0.7234075969792768,10
4,who is the main character in green eggs and ham,BetaShap (U)5,0.7265775791676514,0.6808542089216723,10
4,who is the main character in green eggs and ham,TMC10,0.9371287158944465,0.8875420937728943,10
4,who is the main character in green eggs and ham,BetaShap (U)10,0.7846815198366462,0.8753839828992931,10
4,who is the main character in green eggs and ham,TMC20,0.9693679902223099,0.8875420937728943,10
4,who is the main character in green eggs and ham,BetaShap (U)20,0.7803567979755907,0.8753839828992931,10
4,who is the main character in green eggs and ham,LOO,0.7605591166429493,0.8414634146341463,10
5,do veins carry blood to the heart or away,ContextCite32,0.9515614743340987,0.9013819872639098,10
5,do veins carry blood to the heart or away,WSS32,0.9199144881988789,0.7841981513472833,10
5,do veins carry blood to the heart or away,ContextCite64,0.9632884313859013,0.9422535927041001,10
5,do veins carry blood to the heart or away,WSS64,0.9662908778028007,0.8814630383360937,10
5,do veins carry blood to the heart or away,ContextCite100,0.9631644285572377,0.9240164263936982,10
5,do veins carry blood to the heart or away,WSS100,0.9786254308181126,0.9665698144513026,10
5,do veins carry blood to the heart or away,TMC5,0.9641429392948668,0.8510677611520904,10
5,do veins carry blood to the heart or away,BetaShap (U)5,0.8228622672699487,0.1580554413568168,10
5,do veins carry blood to the heart or away,TMC10,0.9770360698028993,0.9300954818304988,10
5,do veins carry blood to the heart or away,BetaShap (U)10,0.6802394772308623,0.43769199144964654,10
5,do veins carry blood to the heart or away,TMC20,0.9671674575841287,0.9240164263936982,10
5,do veins carry blood to the heart or away,BetaShap (U)20,0.7449106203520259,0.4620082131968491,10
5,do veins carry blood to the heart or away,LOO,0.8648406518194919,0.21951219512195125,10
6,who played charlie bucket in the original charlie and the chocolate factory,ContextCite32,0.9707939260991293,0.8875420937728943,10
6,who played charlie bucket in the original charlie and the chocolate factory,WSS32,0.9289483671090215,0.7538028741632801,10
6,who played charlie bucket in the original charlie and the chocolate factory,ContextCite64,0.9906627485549604,0.9544117035777013,10
6,who played charlie bucket in the original charlie and the chocolate factory,WSS64,0.9496986364387774,0.7963562622208846,10
6,who played charlie bucket in the original charlie and the chocolate factory,ContextCite100,0.9927178647736921,0.9483326481409007,10
6,who played charlie bucket in the original charlie and the chocolate factory,WSS100,0.9888050503969157,0.7841981513472833,10
6,who played charlie bucket in the original charlie and the chocolate factory,TMC5,0.9087922657977568,0.9300954818304988,10
6,who played charlie bucket in the original charlie and the chocolate factory,BetaShap (U)5,0.8258310087896853,0.6808542089216723,10
6,who played charlie bucket in the original charlie and the chocolate factory,TMC10,0.8279231710529749,0.6626170426112704,10
6,who played charlie bucket in the original charlie and the chocolate factory,BetaShap (U)10,0.5610661709622263,0.5106406566912542,10
6,who played charlie bucket in the original charlie and the chocolate factory,TMC20,0.9445017166651561,0.8024353176576853,10
6,who played charlie bucket in the original charlie and the chocolate factory,BetaShap (U)20,0.7015170644552909,0.47416632407045034,10
6,who played charlie bucket in the original charlie and the chocolate factory,LOO,0.6718998890559916,0.5853658536585367,10
7,what is 1 radian in terms of pi,ContextCite32,0.9096612313166048,0.6504589317376691,10
7,what is 1 radian in terms of pi,WSS32,0.9358345517849878,0.6808542089216723,10
7,what is 1 radian in terms of pi,ContextCite64,0.9691827206274456,0.8085143730944858,10
7,what is 1 radian in terms of pi,WSS64,0.9893328655023158,0.9057792600832962,10
7,what is 1 radian in terms of pi,ContextCite100,0.9579093058523823,0.8267515394048879,10
7,what is 1 radian in terms of pi,WSS100,0.988846271439555,0.8328305948416885,10
7,what is 1 radian in terms of pi,TMC5,0.8446696332274977,0.705170430668875,10
7,what is 1 radian in terms of pi,BetaShap (U)5,0.8587669474489827,0.8024353176576853,10
7,what is 1 radian in terms of pi,TMC10,0.9352558640398901,0.9544117035777013,10
7,what is 1 radian in terms of pi,BetaShap (U)10,0.5691418335463411,0.7781190959104828,10
7,what is 1 radian in terms of pi,TMC20,0.9731330770330907,0.8632258720256917,10
7,what is 1 radian in terms of pi,BetaShap (U)20,0.7130699655990329,0.8024353176576853,10
7,what is 1 radian in terms of pi,LOO,0.9273916511257803,0.8658536585365854,10
8,when does season 5 of bates motel come out,ContextCite32,0.916517675649233,0.3586642707712381,10
