Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Num_Valid_Queries
ContextCite32,0.9907074728935245,0.8383838383838382,0.7037037037037036,0.9775318887941357,3
WSS32,0.990758809114109,0.8383838383838382,0.7037037037037036,0.9775318887941357,3
WSS100,0.9947883678605619,0.8303030303030301,0.7185185185185184,0.9851250742439855,3
ContextCite100,0.9946370678138465,0.8101010101010099,0.7037037037037036,0.9851250742439855,3
TMC64,0.988612265631887,0.7858585858585858,0.6444444444444444,0.9963945317166014,3
ContextCite64,0.9907010441819729,0.7737373737373737,0.6148148148148148,0.9810161295567456,3
WSS64,0.9914271722221372,0.7696969696969697,0.6296296296296297,0.9810161295567456,3
TMC32,0.9853919418463871,0.7656565656565656,0.674074074074074,0.9876855384267936,3
TMC100,0.9916036586706912,0.7414141414141412,0.5703703703703703,0.9951814880234137,3
BetaShap (U)64,0.9080716881570418,0.6808080808080806,0.5555555555555555,0.9855197839505013,3
BetaShap (U)32,0.9185580261765564,0.6565656565656565,0.5111111111111111,0.9772224066180768,3
BetaShap (U)100,0.8170084264905011,0.6484848484848484,0.49629629629629624,0.9788770789516675,3
LOO,0.9786017038333511,0.6404040404040403,0.5259259259259258,0.9843682238550112,3
