Method,Avg_Pearson,Avg_Spearman,Num_Valid_Queries
TMC100,0.9907445573969895,0.9312505023634909,100
TMC64,0.9860187035384349,0.9116151533026249,100
TMC32,0.9749167086218073,0.8711894346479006,100
ContextCite100,0.9702798172462787,0.8107028330517342,100
WSS100,0.9694952197262979,0.8097909747362141,100
BetaShap (U)100,0.9243388192628,0.799213418276181,100
ContextCite64,0.9577629065595703,0.7710066010494259,100
BetaShap (U)64,0.898408426294206,0.7697299994076978,100
WSS64,0.9565787524437377,0.7660217755912494,100
BetaShap (U)32,0.8464372196819506,0.7100944655726835,100
WSS32,0.9190771464726101,0.6827387161070806,100
ContextCite32,0.9190572128496476,0.6802463033779922,100
LOO,0.8714853237510205,0.4729268292682927,100
