Method,Avg_Pearson,Avg_Spearman,Num_Valid_Queries
TMC100,0.9834105081739851,0.9117975249657289,100
TMC64,0.9746838313760532,0.8899129253932466,100
TMC32,0.9537918563854378,0.8281497221553519,100
ContextCite100,0.9633171097206354,0.8160524018361187,100
WSS100,0.9603373338616105,0.8125873402371424,100
BetaShap (U)100,0.9393651773197527,0.7939246400461645,100
WSS64,0.9490669410653325,0.7734990137785143,100
ContextCite64,0.9515812255729014,0.77118897271253,100
BetaShap (U)64,0.9071624581001185,0.7486964675963675,100
ContextCite32,0.9006069201214,0.6854742910536409,100
WSS32,0.9007016908965936,0.6848663855099608,100
BetaShap (U)32,0.8162273582497741,0.6326472993078432,100
LOO,0.8558903944986612,0.5695121951219513,100
