Question_Index,Query,Method,Pearson,Spearman,NDCG,KendallTau,Precision_at_1,Precision_at_3,Precision_at_5,Hit_rate_at_k,Reciprocal_Rank,Num_Items
0,What is the association between cell phone use and glioblastoma?,ContextCite32,0.9975634569976529,0.6121212121212121,0.9900404417413746,0.5555555555555555,1.0,0.6666666666666666,0.8,1,1.0,10
0,What is the association between cell phone use and glioblastoma?,KernelShap32,0.9981194803651005,0.3939393939393939,0.9944572937005131,0.3333333333333333,1.0,0.6666666666666666,0.6,1,1.0,10
0,What is the association between cell phone use and glioblastoma?,BetaShap (U)32,0.9039660331699095,0.7939393939393938,0.9801673000277985,0.6444444444444444,1.0,1.0,0.8,1,1.0,10
0,What is the association between cell phone use and glioblastoma?,TMC32,0.977743916966484,0.8909090909090909,1.0,0.7777777777777777,1.0,1.0,0.8,1,1.0,10
0,What is the association between cell phone use and glioblastoma?,ContextCite64,0.9974082184747377,0.6969696969696969,0.9944572937005131,0.5555555555555555,1.0,1.0,0.8,1,1.0,10
0,What is the association between cell phone use and glioblastoma?,KernelShap64,0.9993374894428216,0.6848484848484848,0.9944572937005131,0.5555555555555555,1.0,0.6666666666666666,0.6,1,1.0,10
0,What is the association between cell phone use and glioblastoma?,BetaShap (U)64,0.9206954129413264,0.709090909090909,0.978715889687977,0.5555555555555555,1.0,1.0,0.6,1,1.0,10
0,What is the association between cell phone use and glioblastoma?,TMC64,0.993611204777905,0.7696969696969697,0.978715889687977,0.6,1.0,1.0,0.8,1,1.0,10
0,What is the association between cell phone use and glioblastoma?,ContextCite100,0.9984603172822502,0.8181818181818182,0.9944572937005131,0.6444444444444444,1.0,1.0,0.8,1,1.0,10
0,What is the association between cell phone use and glioblastoma?,KernelShap100,0.9993229722914087,0.6121212121212121,1.0,0.4222222222222222,1.0,1.0,0.6,1,1.0,10
0,What is the association between cell phone use and glioblastoma?,BetaShap (U)100,0.9030019972460522,0.4424242424242424,0.978715889687977,0.3333333333333333,1.0,0.6666666666666666,0.6,1,1.0,10
0,What is the association between cell phone use and glioblastoma?,TMC100,0.9949041467564959,0.6363636363636362,0.9801673000277985,0.5111111111111111,1.0,0.6666666666666666,0.6,1,1.0,10
0,What is the association between cell phone use and glioblastoma?,LOO,0.996088623304165,0.22424242424242422,0.97317318338849,0.15555555555555553,1.0,0.6666666666666666,0.6,1,1.0,10
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,ContextCite32,0.8833990023034677,0.8181818181818182,0.9732858049043918,0.6444444444444444,1.0,1.0,0.6,1,1.0,10
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,KernelShap32,0.8643875628799198,0.8545454545454544,0.9793828770819522,0.6888888888888888,1.0,1.0,0.8,1,1.0,10
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,BetaShap (U)32,0.35697587247693335,0.4787878787878787,0.6136905412203534,0.28888888888888886,0.0,0.6666666666666666,0.6,1,0.5,10
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,TMC32,0.6136062099887952,0.6848484848484848,0.6136905412203534,0.4666666666666666,0.0,0.6666666666666666,0.8,1,0.5,10
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,ContextCite64,0.8534092738012717,0.8060606060606059,0.8351028130011682,0.6888888888888888,1.0,1.0,0.8,1,1.0,10
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,KernelShap64,0.9573472845615537,0.9515151515151514,1.0000000000000002,0.8666666666666666,1.0,1.0,0.8,1,1.0,10
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,BetaShap (U)64,0.6718055244727152,0.7454545454545454,0.7179877624673674,0.5555555555555555,1.0,0.6666666666666666,0.8,1,1.0,10
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,TMC64,0.9215538427692342,0.9151515151515152,0.9793828770819522,0.8222222222222221,1.0,1.0,0.8,1,1.0,10
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,ContextCite100,0.9073281336975463,0.8303030303030302,0.940550536403602,0.7333333333333333,1.0,1.0,0.8,1,1.0,10
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,KernelShap100,0.9394231552628731,0.9272727272727272,1.0000000000000002,0.8222222222222221,1.0,1.0,0.8,1,1.0,10
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,BetaShap (U)100,0.7031430074015615,0.7939393939393938,0.7966936329314651,0.6,1.0,0.6666666666666666,0.8,1,1.0,10
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,TMC100,0.91327683686442,0.9393939393939393,0.9793828770819522,0.8222222222222221,1.0,1.0,0.8,1,1.0,10
1,Which disease of the central nervous system is characterized by the presence of Lewy bodies?,LOO,0.6945273648877677,0.5030303030303029,0.7665338152911432,0.3333333333333333,1.0,0.6666666666666666,0.8,1,1.0,10
2,The NoSAS Score can be used for screening of which disorders?,ContextCite32,0.9297230293430478,0.5393939393939393,1.0,0.4222222222222222,1.0,0.6666666666666666,0.8,1,1.0,10
2,The NoSAS Score can be used for screening of which disorders?,KernelShap32,0.9392172479199171,0.6727272727272726,1.0,0.5111111111111111,1.0,1.0,0.8,1,1.0,10
2,The NoSAS Score can be used for screening of which disorders?,BetaShap (U)32,0.869620776115775,0.709090909090909,1.0,0.5555555555555555,1.0,1.0,0.6,1,1.0,10
2,The NoSAS Score can be used for screening of which disorders?,TMC32,0.8703494948997279,0.2727272727272727,1.0,0.19999999999999998,1.0,0.6666666666666666,0.4,1,1.0,10
2,The NoSAS Score can be used for screening of which disorders?,ContextCite64,0.982515981790964,0.5272727272727272,1.0,0.4222222222222222,1.0,0.6666666666666666,0.6,1,1.0,10
2,The NoSAS Score can be used for screening of which disorders?,KernelShap64,0.9748631406670454,0.8303030303030302,1.0,0.6888888888888888,1.0,0.6666666666666666,0.8,1,1.0,10
2,The NoSAS Score can be used for screening of which disorders?,BetaShap (U)64,0.9551547302275822,0.5151515151515151,1.0,0.3333333333333333,1.0,0.6666666666666666,0.6,1,1.0,10
2,The NoSAS Score can be used for screening of which disorders?,TMC64,0.9778438105908775,0.38181818181818183,1.0,0.3333333333333333,1.0,0.6666666666666666,0.6,1,1.0,10
2,The NoSAS Score can be used for screening of which disorders?,ContextCite100,0.9935074147830278,0.9151515151515152,1.0,0.7777777777777777,1.0,1.0,1.0,1,1.0,10
2,The NoSAS Score can be used for screening of which disorders?,KernelShap100,0.9815786396168763,0.9030303030303028,1.0,0.7777777777777777,1.0,1.0,0.8,1,1.0,10
2,The NoSAS Score can be used for screening of which disorders?,BetaShap (U)100,0.9772043744412501,0.5151515151515151,1.0,0.3333333333333333,1.0,0.6666666666666666,0.6,1,1.0,10
2,The NoSAS Score can be used for screening of which disorders?,TMC100,0.9915538667245497,0.6242424242424242,1.0,0.5555555555555555,1.0,1.0,0.6,1,1.0,10
2,The NoSAS Score can be used for screening of which disorders?,LOO,0.9331598744005533,0.8181818181818182,1.0,0.6888888888888888,1.0,1.0,0.8,1,1.0,10
3,What species is associated with Tetrodotoxin?,ContextCite32,0.9898584558441621,0.6727272727272726,1.0,0.5555555555555555,1.0,1.0,0.6,1,1.0,10
3,What species is associated with Tetrodotoxin?,KernelShap32,0.9949436737204242,0.8303030303030302,0.9941705610862093,0.6888888888888888,1.0,1.0,0.8,1,1.0,10
