Question_Index,Query,Method,Pearson,Spearman,NDCG,KendallTau,Precision_at_1,Precision_at_2,Precision_at_3,Precision_at_5,Hit_rate_at_k,Reciprocal_Rank,Num_Items
0,What kind of energy does the facility hovering the planet Xylos produce?,ContextCite32,0.9603074005163894,0.8787878787878788,0.9721413276970614,0.7333333333333333,1.0,1.0,0.6666666666666666,1.0,1,1.0,10
0,What kind of energy does the facility hovering the planet Xylos produce?,KernelShap32,0.9991646015076943,0.9878787878787878,1.0,0.9555555555555554,1.0,1.0,1.0,1.0,1,1.0,10
0,What kind of energy does the facility hovering the planet Xylos produce?,WSS32,0.9944737939984043,0.9272727272727272,1.0,0.8222222222222221,1.0,1.0,1.0,1.0,1,1.0,10
0,What kind of energy does the facility hovering the planet Xylos produce?,BetaShap (U)32,0.9468776516869079,0.7454545454545454,0.9857987912829919,0.6,1.0,0.5,1.0,0.8,1,1.0,10
0,What kind of energy does the facility hovering the planet Xylos produce?,TMC32,0.9654588462685961,0.8181818181818182,1.0,0.7333333333333333,1.0,1.0,1.0,0.8,1,1.0,10
0,What kind of energy does the facility hovering the planet Xylos produce?,ContextCite64,0.9852357817486421,0.9393939393939393,0.9721413276970614,0.8222222222222221,1.0,1.0,0.6666666666666666,1.0,1,1.0,10
0,What kind of energy does the facility hovering the planet Xylos produce?,KernelShap64,0.9979901487053299,0.9757575757575757,1.0,0.911111111111111,1.0,1.0,1.0,0.8,1,1.0,10
0,What kind of energy does the facility hovering the planet Xylos produce?,WSS64,0.9949254596752172,0.8787878787878788,1.0,0.7777777777777777,1.0,1.0,1.0,0.8,1,1.0,10
0,What kind of energy does the facility hovering the planet Xylos produce?,BetaShap (U)64,0.923715028733427,0.6484848484848483,0.9857987912829919,0.5111111111111111,1.0,0.5,1.0,0.8,1,1.0,10
0,What kind of energy does the facility hovering the planet Xylos produce?,TMC64,0.9803394772276872,0.7454545454545454,0.9857987912829919,0.6,1.0,0.5,1.0,0.8,1,1.0,10
0,What kind of energy does the facility hovering the planet Xylos produce?,ContextCite100,0.9931329196784304,0.9757575757575757,1.0,0.911111111111111,1.0,1.0,1.0,1.0,1,1.0,10
0,What kind of energy does the facility hovering the planet Xylos produce?,KernelShap100,0.9962649216662208,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1,1.0,10
0,What kind of energy does the facility hovering the planet Xylos produce?,WSS100,0.9989980334599786,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1,1.0,10
0,What kind of energy does the facility hovering the planet Xylos produce?,BetaShap (U)100,0.9010682530561389,0.6121212121212121,0.9857987912829919,0.4666666666666666,1.0,0.5,1.0,0.8,1,1.0,10
